name,url,price,img,brand,brand_url
 Camo Effect Joggers With Side Pockets,http://www.koovs.com/camo-effect-joggers-with-side-pockets-91824.html,1899,http://images.koovscdn.com/uploads/products/91824_69b4633858206293e1a034d6557ec5ed_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Indigo Wash Slim Jeans,http://www.koovs.com/indigo-wash-slim-jeans-93436.html,1899,http://images.koovscdn.com/uploads/products/93436_a584410e746c040437fd6e720814fa71_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive Denim Shirt In Ice Wash,http://www.koovs.com/blue-saint-exclusive-denim-shirt-in-ice-wash-82215.html,1099,http://images.koovscdn.com/uploads/products/82215_f6c0565aac2a8fda118172bd24680d45_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Dark Wash Whiskered Jeans,http://www.koovs.com/dark-wash-whiskered-jeans-91820.html,1699,http://images.koovscdn.com/uploads/products/91820_e065afc6b62491d0d8e48bea3e4114d1_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Cuffed Chino Woven Joggers,http://www.koovs.com/blue-saint-cuffed-joggers_105-85758.html,1499,http://images.koovscdn.com/uploads/products/85758_b26b0ba60d4d004436cc2b299242c03f_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive Grandad Collar Shirt,http://www.koovs.com/blue-saint-exclusive-grandad-collar-shirt_83-82214.html,999,http://images.koovscdn.com/uploads/products/82214_6b59c94d6c0db0e2f28f5fe5a752cab0_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Heavy Distressed T-Shirt,http://www.koovs.com/heavy-distressed-t-shirt-88348.html,599,http://images.koovscdn.com/uploads/products/88348_0fa496255bae23b0ac0560c2439a2f37_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Mid Wash Slim Jeans With Rips,http://www.koovs.com/mid-wash-slim-jeans-with-rips-93433.html,1699,http://images.koovscdn.com/uploads/products/93433_6d546655014b97a74c6b0c37d3cb864b_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Washed Busted Knee Slim Jeans,http://www.koovs.com/mid-wash-jeans-with-rip--repair-patch-91822.html,1899,http://images.koovscdn.com/uploads/products/91822_c558661b39e79446b9dbf739db85665a_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Printed Shorts,http://www.koovs.com/blue-saint-printed-shorts_39-82007.html,825,http://images.koovscdn.com/uploads/products/82007_a664879593342a8109b56ed06b15ec98_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive Contrast Button Shirt,http://www.koovs.com/blue-saint-exclusive-contrast-button-shirt_15-82207.html,999,http://images.koovscdn.com/uploads/products/82207_e5678a5b99fe9a46c1b8188aba3f3c72_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive Grandad Collar Shirt,http://www.koovs.com/blue-saint-exclusive-grandad-collar-shirt-82213.html,999,http://images.koovscdn.com/uploads/products/82213_4dd83873efbe83e20fbfaab54799b375_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Light Weight Denim Joggers With Patch Detail,http://www.koovs.com/blue-saint-light-wash-joggers-85751.html,1899,http://images.koovscdn.com/uploads/products/85751_6341d50dd7659e2107f39183a2863be1_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Floral Print Vest,http://www.koovs.com/floral-print-vest-93389.html,499,http://images.koovscdn.com/uploads/products/93389_6c9bd79e4c1ab9286a950a2abeb020e1_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Classic Slim Fit Jeans,http://www.koovs.com/blue-saint-slim-jeans_147-81310.html,999,http://images.koovscdn.com/uploads/products/81310_1f0c869751361fb6886da5b26937b2b7_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Dark Wash Slim Jeans,http://www.koovs.com/dark-wash-slim-jeans_130-93435.html,1699,http://images.koovscdn.com/uploads/products/93435_db417f1e3ecc481fda9f68be091f3e4f_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Cuffed Smart Joggers,http://www.koovs.com/blue-saint-drawstring-joggers-78764.html,1040,http://images.koovscdn.com/uploads/products/78764_c000093fa613ed27d476a8ea5324ef48_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Exclusive Crew Neck T-Shirt,http://www.koovs.com/blue-saint-exclusive-crew-neck-t-shirt-81058.html,399,http://images.koovscdn.com/uploads/products/81058_36f663e450f52c02f849aeadca2ceeb7_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Light Wash Slim Jeans With Patch Outline,http://www.koovs.com/blue-saint-light-wash-slim-jeans-85753.html,1699,http://images.koovscdn.com/uploads/products/85753_295c742a93e9cc4c28fbe822cf5dc60c_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Contrast Panel Polo Shirt,http://www.koovs.com/blue-saint-contrast-panel-polo_206-83438.html,699,http://images.koovscdn.com/uploads/products/83438_7121b724308fcac5687b41fcb4748a7e_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Cuffed Denim Joggers With Cargo Pockets,http://www.koovs.com/cuffed-joggers-with-cargo-pockets_308-91826.html,1699,http://images.koovscdn.com/uploads/products/91826_6e128315aa489956c238fcbeea4c8154_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
 Tank In Neps,http://www.koovs.com/blue-saint-tank-in-neps-78774.html,499,http://images.koovscdn.com/uploads/products/78774_9a320e84f1c8a81ee362911919a51dc5_image1_zoom.jpg,Blue Saint,http://www.koovs.com/men/brand/blue-saint/
